study_id,center_row,center_col
ID_610a77ba9f,277,293
ID_7fc78500e8,276,269
ID_834a36b9a3,258,244
ID_aa7fba9ddc,244,257
ID_406ffd81bc,284,267
ID_1fb0977332,265,249
ID_af13539d39,276,227
ID_72326072e6,312,273
ID_86ff38444b,281,237
ID_aa190d2465,284,250
ID_5e5a10764a,263,256
ID_3dad09ef73,274,256
ID_261df5eaf9,285,253
ID_c1a7bbb8b8,279,250
ID_a94337206d,275,249
ID_e48e7e71b3,287,241
ID_3252f34c1b,265,273
ID_f50a48b8f2,272,246
ID_30df2a8f41,253,263
ID_49da711509,273,246
ID_64d47faa05,265,281
ID_226e32bfd4,281,246
ID_b8defab78f,229,255
ID_4fef99f0df,265,221
ID_fbd83cf240,274,294
ID_209dff0979,273,265
ID_565fc406a3,281,245
ID_44cf9c5e71,265,224
ID_ff9b32ab59,284,257
ID_afbd908d98,249,214
ID_3eddb4dea2,261,238
ID_2cc9f0b9ef,261,265
ID_e51f0fac86,293,290
ID_dd6e8511fb,269,267
ID_6dcf2c41a4,255,236
ID_854f0e9038,272,266
ID_d7a634ec77,276,242
ID_6c27bfdbeb,293,263
ID_3fb459b3df,282,243
ID_1bd3c1ca5c,271,221
ID_e5ba2c19f6,256,227
ID_326c14ce11,256,240
ID_e6afa03fd0,287,274
ID_09d70838f3,282,269
ID_d4c4e9c77c,269,278
ID_478de1ea04,288,152
ID_622db9c96a,284,256
ID_6b3dfc2494,265,262
ID_3ff950ecb6,282,268
ID_a794fb426b,255,264
ID_d8257c88b2,273,239
ID_075397a0b2,287,239
ID_7f2bb301c3,271,242
ID_8d29717448,288,244
ID_3e5bb7d5ec,276,259
ID_6158d14f2e,247,252
ID_8a84374da5,277,240
ID_9e3226cde1,280,255
ID_51d5553040,267,269
ID_1cac8dba16,258,272
ID_da2a1d2e68,279,208
ID_575b117bbe,254,258
ID_6771f68d87,273,262
ID_110c9aaa83,294,263
ID_7cbecd39c4,278,239
ID_b26cbdc518,277,238
ID_c254751a69,274,232
ID_2b34600372,284,275
ID_1cbc864580,264,248
ID_7edcbe24aa,256,258
ID_831ebc466d,265,239
ID_c7d095fd6a,265,235
ID_c0f50cfd8b,273,243
ID_4848e59f32,252,259
ID_2cb91b5ee2,279,240
ID_5bead6a569,261,231
ID_42876b7bcc,293,238
ID_ecc40dfb5f,277,256
ID_cb54ff0230,302,265
ID_82da8b89ae,260,255
ID_46e7279524,267,243
ID_b66456cb3c,276,258
ID_cbd3d786cf,264,251
ID_149740ab60,295,243
ID_3a8538c9c8,353,253
ID_6270e85cb5,260,239
ID_6b84e63026,270,261
ID_892c5a1f46,250,208
ID_0f1c3b9d71,271,259
ID_0b8cb9d16f,266,258
ID_e3d6094aed,247,252
ID_09946db496,293,263
ID_1379774648,270,257
ID_86a9e3e4c9,239,263
ID_d6dd150868,266,234
ID_ca829aba1b,305,243
ID_502d5e488d,283,260
ID_006ef41d85,283,236
ID_dc4ceba064,292,265
ID_16e6fa10bd,265,262
ID_a75b922350,284,240
ID_d32fa39a22,252,255
ID_595b75eb39,270,235
ID_c657d7bb03,284,252
ID_e972706b4a,263,200
ID_b52b9d5629,263,236
ID_8777bf42b9,261,237
ID_a4e58b1052,267,278
ID_2e28736ab7,266,254
ID_6b34a94f61,284,249
ID_0b56503103,269,254
ID_b51d36ed42,296,247
ID_a5c7ba23ba,271,258
ID_9059331022,272,250
ID_4b827bde69,247,229
ID_30b610147f,267,228
ID_47f1f2a01e,282,267
ID_31acf39540,268,238
ID_22544f1c5c,284,222
ID_1a2987402c,256,245
ID_a418608f64,300,256
ID_0f66b4379d,264,274
ID_5bc212d79e,269,247
ID_34a205eb1e,268,238
ID_fd81bbb794,269,272
ID_c676934967,287,267
ID_e637cca0d2,291,258
ID_d5a08d67be,259,260
ID_167b0edb0e,267,254
ID_2565bf7526,264,252
ID_85113a9724,272,256
ID_c8baf61746,253,255
ID_b019e3b6be,277,251
ID_105b2831be,264,258
ID_3c8c55882f,266,219
ID_1593a27132,256,249
ID_0c3940c591,279,252
ID_7139a47949,264,257
ID_c00f22e6dd,282,232
ID_fa74ba490d,284,276
ID_2017f323dd,276,228
ID_093027f647,301,306
ID_c19f083ea2,265,292
ID_9ec7b43855,263,280
ID_5e0698ea61,288,281
ID_04f16dac18,266,202
ID_b3088c3bf0,272,251
ID_c2c6d0557a,265,244
ID_5a4da836fe,257,252
ID_947042a5dc,266,229
ID_8109ef4a74,268,234
ID_2d0b703f1a,277,256
ID_5cda8cf12b,266,255
ID_2c83d89100,273,266
ID_063164353d,293,239
ID_592b54b1a1,266,255
ID_bc6b2e79ea,283,261
ID_51661d5c4a,246,237
ID_3c1858f928,272,259
ID_e0ea1795d0,276,220
ID_ca8883eae4,249,253
ID_ce6c35d44b,278,269
ID_6d7789b776,256,247
ID_b9f03cdec6,257,246
ID_c6af0dec22,268,255
ID_3b490a7f3b,290,242
ID_6773e6d54b,270,262
ID_a8247f4f92,265,249
ID_05adc8cbd1,275,253
ID_41edd6e8dd,282,260
ID_e095675381,266,225
ID_06920e00c6,280,265
ID_a3524ee9dc,266,252
ID_1ffc740691,280,257
ID_f8fe2dfe31,299,314
ID_b7ed27c879,286,242
ID_68a70ca7f8,271,248
ID_e88560e70c,263,260
ID_a092f59c5b,287,255
ID_8dabd70aa2,266,227
ID_03a0be09b9,301,246
ID_f168345f07,253,272
ID_20d7a9cbe1,268,255
ID_450c55a4b6,266,251
ID_01bba683d8,284,256
ID_bec2e9324d,245,244
ID_4bd141ba70,262,251
ID_5a541dd784,272,252
ID_dd7cdbe29c,272,262
ID_48b71c5440,269,250
ID_e5642954cc,251,261
ID_bdaf1e8b99,268,258
ID_6ff4805d6d,270,248
ID_f1228a4c0e,265,259
ID_297c79cbce,257,236
ID_0a9fadf904,269,234
ID_994e9345a7,247,260
ID_41f07a4fe9,257,262
ID_bd5dd664c1,279,255
ID_c04b2aeb68,264,264
ID_68cfc030f0,274,256
ID_335964f67e,264,280
ID_8d9bae798d,261,238
ID_35de8492c1,271,249
ID_a2a245e0f7,276,237
ID_af9ed0e596,275,218
ID_b5a0d2db56,290,254
ID_669bb13c9f,273,270
ID_72dcee7ad8,271,235
ID_39c2d29f1e,276,228
ID_8dba3bb692,261,224
ID_5d1f5b5903,280,267
ID_13c5d4aa1f,276,261
ID_ceba53c335,256,264
ID_13fa63bdb5,287,283
ID_edf2e40b3c,284,265
ID_ff83fa66a1,250,250
ID_3025dfb05c,260,261
ID_78454535be,291,253
ID_2c17d026ea,270,238
ID_d1061ca7d3,286,259
ID_f5b2eef886,289,261
ID_acf3bacc17,252,253
ID_26239ead73,269,225
ID_bf89cb0df0,258,208
ID_cbb3eba8ca,277,294
ID_a733247df0,282,245
ID_22cfbdbf88,265,238
ID_6d75365578,255,253
ID_a2a865b38a,231,246
ID_17d8734038,257,259
ID_469b523aac,261,253
ID_5ed2333f4d,269,244
ID_ec0ea2c140,274,270
ID_7b50908484,289,272
ID_d4b2fd46c2,271,255
ID_265d0840d4,287,253
ID_0c291d8fe0,278,228
ID_514dfb5b98,257,273
ID_8e804b04af,273,270
ID_d77ae75828,276,232
ID_02c98451e3,261,240
ID_7959cb44b2,258,245
ID_c5fb137f57,279,247
ID_dce84ac0fb,271,215
ID_2d68f2619b,271,277
ID_350c3cf9c6,291,260
ID_965cdfe774,258,246
ID_8b9cdeb6ac,265,262
ID_ccfe0d7b7c,267,235
ID_72998e96b7,257,268
ID_0595d91450,265,246
ID_c9a6348d26,260,241
ID_ad4b75411e,279,252
ID_5f2704efed,252,261
ID_e7edfad49e,248,254
ID_3b54f9acd2,255,220
ID_625ac074ad,263,223
ID_9f4dde449e,268,250
ID_4074843c8f,266,244
ID_6ed2c6b29a,274,288
ID_ce08004c56,285,213
ID_dd14cc5a1d,277,254
ID_d9ab49102e,290,243
ID_ed68e0c2c1,246,261
ID_d4b255fe4a,240,265
ID_6fd5d59ab8,257,228
ID_92e17495c6,247,270
ID_9a8960c076,264,253
ID_94020df336,275,287
ID_233f082286,282,266
ID_b7441affa1,265,252
ID_d8ac405c28,283,252
ID_9593e35693,282,260
ID_f50833c945,255,256
ID_c27212f9ad,267,246
ID_2724be7253,256,249
ID_4d91559c0b,276,245
ID_d5255356a3,274,267
ID_340fb3054e,285,247
ID_d7150bac21,263,257
ID_c24a668937,287,259
ID_c5dfb50b11,278,249
ID_704b97813c,289,249
ID_99e4e009da,262,251
ID_6b8c7dc5c5,290,259
ID_f10e262672,280,242
ID_bf80459ee6,287,257
ID_9779babdb5,247,262
ID_a59a887f38,257,235
ID_a5e1af294f,313,241
ID_c67a965150,280,262
ID_71756da450,288,251
ID_e8aa53ab8d,273,243
ID_7826a5d48f,247,251
ID_249869e03b,296,311
ID_5769603edb,261,269
ID_1950b99a21,277,264
ID_831a596c96,297,225
ID_4ea8a4dfa3,284,247
ID_60602c9c61,278,236
ID_2854a3919d,276,265
ID_fc967f7688,310,246
ID_cdc58abf22,279,259
ID_7c61df57bb,285,246
ID_3eebafdcda,267,266
ID_28aa2618f2,267,269
ID_df014c38cf,270,251
ID_09a9eb5fbe,270,254
ID_49b0956339,268,238
ID_36a71a35e2,293,239
ID_cd7dc71b90,265,251
ID_80d0729964,234,227
ID_f2a6636a59,278,266
ID_e408326cb9,283,253
ID_04263dd533,253,240
ID_43559b3541,276,265
ID_9b04a43609,270,239
ID_9553c83b49,250,222
ID_93e581b070,261,286
ID_2f313d63c0,259,236
ID_69d6841cf8,267,211
ID_8781a513d5,280,206
ID_166879e96f,300,253
ID_03512fdc97,266,236
ID_6fec3aab50,272,258
ID_5900b5c7c4,294,237
ID_e867c67ace,301,254
ID_a261c8cb45,268,276
ID_8fc2e6ee47,256,271
ID_12f4a5edb3,255,226
ID_270cb17f0f,281,251
ID_92efd702da,267,255
ID_94b6fe292c,274,270
ID_85a102151b,266,249
ID_b02c0ddcfd,286,264
ID_5b0a9ec8d2,243,280
ID_2eb4f09184,268,253
ID_78348e773d,274,260
ID_8d0e9f08f7,219,256
ID_88c047ab4e,237,282
ID_b375003f30,261,255
ID_0207c0a9a3,276,255
ID_ed964e3c5f,266,236
ID_b304006569,268,247
ID_ec6022c826,266,253
ID_589ba5df1d,258,263
ID_dc60a78e53,285,321
ID_6927d782dc,288,250
ID_e135fada76,258,254
ID_0b9b92c3af,270,242
ID_8067985615,261,259
ID_aea3bf37f4,271,250
ID_46f9c773e4,274,250
ID_3bade5e3ef,270,227
ID_3ad4ccef46,293,308
ID_f0b4019b12,267,220
ID_a7b501ef4a,307,245
ID_daf491f545,289,253
ID_d950b1794a,266,245
ID_2289393b50,250,229
ID_cf34452119,282,247
ID_66a8edcc2a,293,230
ID_2864c78ee4,286,251
ID_d8d69fbf46,267,251
ID_3d404f1c58,293,239
ID_0386b0a67b,277,243
ID_fba0776067,284,247
ID_27d0cd3465,268,258
ID_072fcc5282,305,287
ID_370c1a3272,269,252
ID_934681d5a0,271,244
ID_fe597795f5,278,298
ID_5a9416bfc1,295,248
ID_79b0719e37,258,255
ID_12d520ca16,272,267
ID_b5e6b7e075,265,275
ID_014afd4653,273,244
ID_6970c36c99,270,264
ID_f9eff16744,245,225
ID_3885444dd6,304,313
ID_b92ed8f15e,264,247
ID_14d9699719,270,266
ID_13fd84f07c,241,237
ID_7e75714f8c,271,246
ID_bbf7e0a193,273,249
ID_f3fb7e5b57,285,231
ID_5773c94eab,277,271
ID_df4a6255c1,289,257
ID_ea0290640c,235,267
ID_638e3a19a9,273,268
ID_62900fd581,269,238
ID_d32ad103cc,279,245
ID_eab70ccb00,295,203
ID_3dd224d072,270,258
ID_2466d9429b,309,201
ID_065682422f,267,262
ID_56021ef75f,276,277
ID_97c29ac1b6,285,255
ID_78752709d3,270,233
ID_160907d8c4,260,240
ID_72e38fcdc9,277,269
ID_1fe2d0f180,265,256
ID_82e24c6d04,254,255
ID_eff596cece,271,260
ID_63e7643cf9,263,252
ID_16456c613f,270,258
ID_acab9e1614,268,218
ID_01860aefe9,265,241
ID_573de6f03a,252,229
ID_a41a3a4c10,275,247
ID_e36d83a122,266,257
ID_a4aee3258c,282,245
ID_271c26c27f,269,219
ID_050b605a49,264,251
ID_3ea7b957e9,289,251
ID_d91cbe7fb9,274,248
ID_152b4c1bc7,264,261
ID_e30e1319a7,268,264
ID_393b2444ef,288,241
ID_f6bbef0a46,264,237
ID_375cc6a0af,279,239
ID_be2d158599,263,240
ID_5beea8d6f3,263,246
ID_cad029d964,282,242
ID_cf4596c490,257,238
ID_b07bb7e688,275,280
ID_cdc94ffedd,246,230
ID_e38aa2a7b7,266,266
ID_03e31e18bc,297,265
ID_4ce0dffb13,295,258
ID_c865d95da4,266,296
ID_43bd42278c,260,259
ID_c14848924f,286,161
ID_8cc207574f,278,249
ID_ea9d811bdb,267,256
ID_182c8d4a65,284,261
ID_8fe7c325f8,239,202
ID_d3aa8da2d9,260,256
ID_5329ed5608,261,250
ID_9ec7a8e33b,267,256
ID_1b06222ecf,266,246
ID_0ff8d67755,275,226
ID_cfb6047009,261,245
ID_797b5d2505,281,279
ID_49dfc8845b,260,254
ID_fbc686e337,268,279
ID_5479315265,262,260
ID_51253b4b06,275,281
ID_4ad2424cad,276,253
ID_0c228870d8,272,260
ID_509efa0d70,279,205
ID_f5323ace8a,250,258
ID_7627acfc70,281,266
ID_c030c80c07,311,269
ID_4068dadbd7,255,252
ID_3da7967508,284,213
ID_ba3df9b566,260,277
ID_64bc2a3f87,236,253
ID_6359a4d863,267,281
ID_b6d232a69a,286,275
ID_bf48c0d9e3,273,248
ID_408c5a8ec8,248,265
ID_7be0c375f2,269,253
ID_9a62364882,301,267
ID_482e8fe43d,261,243
ID_eb3e3f9ac2,268,269
ID_9996269828,271,241
ID_51cce585d1,276,253
ID_bb48184264,270,254
ID_8a3dfb6724,265,241
ID_be581eccaf,274,190
ID_04b2040461,268,228
ID_e30ee7cda3,254,267
ID_3cf9bcd9f0,275,277
ID_5726e1c630,256,272
ID_8131cbefff,247,242
ID_e065480e49,290,261
ID_29ad1e17b1,266,243
ID_fa107b1657,270,246
ID_cafb7726bb,281,263
ID_1978ead86e,247,255
ID_54fb0a36b6,267,274
ID_c9c3ce168f,275,259
ID_2968f89ffd,269,243
ID_943c57ac85,262,259
ID_1b45c6ccd4,263,266
ID_cd5a5322ca,271,241
ID_96d6cc0ea4,256,257
ID_74875216b7,254,239
ID_7599132a2a,261,248
ID_a3691631a0,287,230
ID_e0d7c96191,269,250
ID_5a1fe75e1d,256,334
ID_0469088cb3,265,219
ID_36552f426e,272,227
ID_b19dc1e6b2,268,249
ID_09f6eab0aa,279,252
ID_9887cbe4d7,279,256
ID_c9ee6133b6,293,267
ID_36c5aa7eed,282,260
ID_b240bf301a,255,262
ID_d56fa36fee,279,257
ID_8ddf273ced,264,253
ID_328190dcfe,277,242
ID_c4721ea520,269,252
ID_4f1a379a62,241,242
ID_b59b79a7ee,263,257
ID_e76b02f6d4,289,204
ID_248d85a78c,272,265
ID_824069073c,263,247
ID_82e7b65186,248,255
ID_0fff94d486,267,239
ID_f0968c215b,305,244
ID_1d54a4531d,272,230
ID_9d6aa08062,283,259
ID_dec57dbfac,263,248
ID_df7e975fc9,267,253
ID_35f741b3f5,282,239
ID_d193aea74d,296,256
ID_2a334e0deb,278,247
ID_37a23e27b2,266,251
ID_30d127ea19,270,273
ID_ee9f64c6c3,251,238
ID_9f108c334b,263,249
ID_9034fba0b6,272,259
ID_6a2798c424,287,253
ID_6652ac1051,259,269
ID_6dda7b2678,266,236
ID_93b4b42dce,261,261
ID_05074a0d95,262,250
ID_cff6a0046e,265,327
ID_96dfc229e7,267,235
ID_f2f7dea7cb,293,298
ID_0b7f1fd34e,263,254
ID_b41dd5b917,272,260
ID_b8cb30f30d,266,262
ID_a6825f0939,265,248
ID_48010db234,266,294
ID_db1becc0e0,266,278
ID_03ee7f4478,250,244
ID_421ea624cd,275,243
ID_72c980f988,291,279
ID_6e210259d5,262,264
ID_451c0f55c1,261,248
ID_ea55886b58,268,234
ID_6fe5f27dd2,261,263
ID_4300c50cb4,269,259
ID_3c0058c93c,237,215
ID_50ae83633e,255,259
ID_bb8a7cd1ca,257,330
ID_d25e8aec0a,273,222
ID_de861cc819,286,250
ID_ad4c0a555f,267,236
ID_b4a4a8d0eb,277,222
ID_a6a16eaed8,260,258
ID_f48b33db96,259,226
ID_2aad36148f,271,235
ID_76d20b95ce,277,286
ID_f16860290a,247,264
ID_4d5599c38c,261,266
ID_84f018593f,279,270
ID_30544a373b,265,242
ID_e739c36bfa,290,262
ID_00bcd5909b,242,251
ID_042e953d69,294,266
ID_f38ff30736,256,233
ID_87b62b8d62,259,248
ID_75fe7ea39f,241,234
ID_eb0a6d0b8f,236,284
ID_4c50a6adb4,272,269
ID_4430f8a5d7,243,241
ID_e2a6e55b8f,266,248
ID_ca11956bbd,273,260
ID_cad4338944,277,231
ID_de6ba5321b,281,259
ID_fe7d434f10,261,251
ID_6c75370281,297,238
ID_16550179c6,253,285
ID_e561ed02e7,272,207
ID_431ec0e22f,257,279
ID_4ed2a72d5e,262,233
ID_9c505724f3,279,230
ID_99a9d3a985,263,256
ID_e58d4cf041,276,249
ID_edc39029d4,284,263
ID_fbe66d1a6e,270,256
ID_c517a5d7dc,253,235
ID_ff2d00e819,285,267
ID_deb9b8c640,287,242
ID_4bbedd7d63,257,240
ID_7820fce70e,243,240
ID_bb11b7f775,257,251
ID_28677a4f64,261,273
ID_c5513f123c,268,244
ID_3d77f12dcb,265,263
ID_ee4d47bbbd,268,293
ID_f6272bb54b,266,256
ID_018977ae65,218,252
ID_13fa4f700c,287,242
ID_986c2744f7,285,249
ID_43f34b81e2,249,206
ID_e5f18d97ab,296,269
ID_b5ddafd3c0,282,269
ID_7ff0c2445a,261,237
ID_7836c4dcd3,259,217
ID_0c9a06814c,281,231
ID_9d7bca799e,279,223
ID_db04094901,260,256
ID_6c4eea2cbb,307,233
ID_e7df8a4bbd,251,257
ID_88306bfe47,261,246
ID_a97e7369cd,289,267
ID_8fc04eb1f5,243,261
ID_102415070c,247,245
ID_52ea23a5f3,268,248
ID_195273822b,260,238
ID_66677d7042,274,249
ID_c53194b45c,283,253
ID_ce89fc518f,267,266
ID_54d2ee44ff,292,299
ID_a10c8b0ddd,251,260
ID_a83f585c7f,264,215
ID_5239047f04,268,261
ID_b7788147ed,277,256
ID_63fc1cd9ae,254,260
ID_8f341f7dac,255,269
ID_32894acc8a,263,265
ID_80612aa7c8,287,169
ID_dd434867f8,269,242
ID_8808c2f67c,266,249
ID_7d7d7c5e71,267,246
ID_0440b7231f,261,241
ID_eb0f9fe018,276,263
ID_c91d891d25,265,239
ID_f5d004a5bf,267,251
ID_2cbb6426e1,271,284
ID_fcb1ec40e6,295,266
ID_710cdb6530,280,261
ID_7bdac33127,268,239
ID_9a5a3a837a,255,263
ID_51094e11eb,245,241
ID_2e9c3b386e,262,264
ID_bfab570858,285,263
ID_26a483499f,261,235
ID_3c128edd01,267,255
ID_0fef461691,287,270
ID_40b3b0b9fe,251,222
ID_224c989e1e,256,262
ID_250d04a456,306,314
ID_7044e89189,291,245
ID_40ed1ce1c5,267,239
ID_ae1a944387,245,203
ID_947caffcfc,246,265
ID_2babdfa017,277,196
ID_37212b2ebe,268,244
ID_d6a958f4ed,317,269
ID_139ab101af,260,258
ID_1d5c3c2e5b,259,270
ID_98c452cf9c,266,275
ID_3a717d189f,248,249
ID_5320011c56,270,245
ID_ea21677b33,262,239
ID_acf1e6191b,284,267
ID_e58fc25177,272,255
ID_e44008e453,287,263
ID_8d17df6444,261,240
ID_dc957eb6fa,263,254
ID_08eaca3179,241,257
ID_bd4ba407a1,290,277
ID_0126c5ebb2,267,246
ID_196a440ad3,286,236
ID_cda70fb379,296,250
ID_fc0e59d651,289,248
ID_5b53007bd2,279,241
ID_f8023e9d14,267,201
ID_a95cd83ebe,269,218
ID_49a13f1a5f,292,285
ID_8ca940c9c4,285,238
ID_6bec69e1bc,256,260
ID_db428f5ead,252,296
ID_e329fba98e,293,255
ID_b425fb774e,270,233
ID_795ce6f1ea,267,251
ID_779d0413d3,233,284
ID_0980d0a384,279,239
ID_c5d0b1f3b0,284,276
ID_f249fffb04,273,244
ID_fa25bc0472,253,256
ID_d900f9b9c6,245,226
ID_200ce2b5b9,257,232
ID_dd5f437a2d,214,237
ID_229a515455,264,204
ID_3132cf512a,253,254
ID_9f951774d0,250,241
ID_e7efdc077b,284,287
ID_37c485e690,280,266
ID_3dd770f648,271,250
ID_a8a48661ad,257,272
ID_129310ac9f,277,263
ID_e144ebc537,264,258
ID_de08e1a65b,263,222
ID_5b40dcf014,280,252
ID_de56cd1832,263,255
ID_f67a113ed2,286,249
ID_0abb72a780,246,280
ID_aee4a0f8e4,249,279
ID_9c1073095e,283,238
ID_99fdc77239,268,245
ID_0ca2c2d924,241,262
ID_223b494568,265,272
ID_31167c64eb,261,219
ID_a90ccc40cf,256,248
ID_3493caf79f,265,254
ID_e67782c3d0,295,239
ID_bfbc609230,252,269
ID_f2b8fb7440,248,242
ID_7764f8f054,290,201
ID_066d8179d8,272,244
ID_43af4e4d1b,263,237
ID_60555536ef,297,270
ID_f07051f461,271,253
ID_bab6d01475,264,246
ID_286f17f9e7,255,251
ID_9f9902d1ac,273,267
ID_c65ca1f34e,279,245
ID_bd71bde658,271,260
ID_2d43e701bc,272,233
ID_18e0552718,256,274
ID_9bb7c8270f,254,264
ID_111a7c6091,277,244
ID_15f2335b5f,283,239
ID_fde6708e71,245,260
ID_9d4d483e8d,272,263
ID_66be4828b1,263,262
ID_5a2f30075e,284,250
ID_357f2288c9,267,252
ID_4bff017f5d,267,250
ID_5ebe5f0875,270,233
ID_33e3adbf73,284,229
ID_74e373ad01,270,261
ID_ca83d77b9b,270,276
ID_f337b1b130,278,250
ID_3aed036ab5,272,271
ID_e48c740824,258,244
ID_066973556c,267,276
ID_6cc45fb3ec,258,260
ID_34990e32f7,274,252
ID_9350c726bb,277,265
ID_96d42446bc,269,223
ID_61e32f8e17,256,234
ID_b1bbaa8f8b,306,274
ID_abe602deef,270,256
ID_7126a8e51e,274,271
ID_28c24ed514,306,241
ID_64d65bfe88,268,254
ID_c710f9a81d,264,243
ID_4609ac842c,257,254
ID_175f15f933,284,242
ID_e23db70c49,267,256
ID_9c9077e3a9,294,274
ID_9be15cf57f,261,273
ID_6b47875340,273,245
ID_f68c193b69,274,280
ID_f06e6cc412,284,257
ID_84740fc988,275,271
ID_670cf9f716,258,267
ID_b1ddcf7a77,322,218
ID_081a8550bf,260,239
ID_f37e794acd,261,260
ID_1b17dc5809,266,281
ID_a0f8e2240c,240,279
ID_cfb2934bdf,277,257
ID_44e5b2f061,305,274
ID_c35cd0de73,266,243
ID_13f9c98d45,271,237
ID_e0c5499133,262,259
ID_d7bbc1d50f,283,347
ID_6a5d7fd055,249,244
ID_c0df217e22,274,275
ID_bfa9e7c756,251,231
